Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2004-08-17,30.6,31.13,30.35,30.87,5768200.0,0.0,1.0,1.9302434090594018,1.9636757295431104,1.9144734465670865,1.9472749685511026,80754800.0
2004-08-16,30.88,31.72,30.64,30.78,7779900.0,0.0,1.0,1.9479057670507949,2.0008928410249744,1.9327666030581723,1.941597782053869,108918600.0
2004-08-13,30.66,31.28,30.4,30.84,5858000.0,0.0,1.0,1.9340282000575575,1.9731377070384997,1.9176274390655494,1.9453825730520247,82012000.0
2004-08-12,30.46,30.85,30.28,30.37,4039300.0,0.0,1.0,1.9214122300637053,1.9460133715517174,1.9100578570692381,1.9157350435664717,56550200.0
2004-08-11,31.1,31.13,30.26,31.01,5757000.0,0.0,1.0,1.9617833340440327,1.9636757295431104,1.908796260069853,1.9561061475467991,80598000.0
2004-08-10,30.39,31.54,30.35,31.52,6268500.0,0.0,1.0,1.916996640565857,1.9895384680305075,1.9144734465670865,1.9882768710311223,87759000.0
2004-08-09,29.85,30.45,29.81,30.3,5193700.0,0.0,1.0,1.8829335215824559,1.9207814315640126,1.8804103275836852,1.9113194540686234,72711800.0
2004-08-06,30.9,31.1,29.7,29.78,8790900.0,0.0,1.0,1.94916736405018,1.9617833340440327,1.8734715440870664,1.8785179320846075,123072600.0
2004-08-05,31.75,32.3,31.25,31.39,4366100.0,0.0,1.0,2.0027852365240526,2.0374791540071464,1.9712453115394217,1.9800764905351185,61125400.0
2004-08-04,31.19,32.12,31.17,31.79,4937300.0,0.0,1.0,1.9674605205412663,2.0261247810126792,1.966198923541881,2.005308430522823,69122200.0
2004-08-03,31.5,31.72,31.15,31.29,3779100.0,0.0,1.0,1.9870152740317373,2.0008928410249744,1.9649373265424956,1.9737685055381922,52907400.0
2004-08-02,31.18,32.2,31.13,31.58,6519500.0,0.0,1.0,1.9668297220415736,2.0311711690102205,1.9636757295431104,1.992061662029278,91273000.0
2004-07-30,32.69,33.0,32.0,32.34,4339700.0,0.0,1.0,2.062080295495158,2.0816350489856292,2.018555199016368,2.040002348005917,60755800.0
2004-07-29,32.5,32.82,32.13,32.64,3967100.0,0.0,1.0,2.0500951240009986,2.0702806759911625,2.026755579512372,2.0589263029966953,55539400.0
2004-07-28,32.31,32.41,31.16,32.27,5090200.0,0.0,1.0,2.038109952506839,2.044417937503765,1.9655681250421884,2.0355867585080687,71262800.0
2004-07-27,31.75,32.75,31.57,32.43,7589400.0,0.0,1.0,2.0027852365240526,2.065865086493314,1.9914308635295854,2.0456795345031504,106251600.0
2004-07-26,30.85,31.45,30.78,31.26,7034500.0,0.0,1.0,1.9460133715517174,1.9838612815332741,1.941597782053869,1.9718761100391144,98483000.0
2004-07-23,31.7,31.75,30.48,30.7,4885200.0,0.0,1.0,1.9996312440255894,2.0027852365240526,1.9226738270630905,1.936551394056328,68392800.0
2004-07-22,31.34,31.73,31.06,31.68,5966400.0,0.0,1.0,1.9769224980366553,2.001523639524667,1.959260140045262,1.9983696470262042,83529600.0
2004-07-21,32.301,32.71,31.34,31.62,5379600.0,0.0,1.0,2.0375422338571156,2.0633418924945435,1.9769224980366553,1.9945848560280486,75314400.0
2004-07-20,31.93,32.2,31.55,32.2,5781200.0,0.0,1.0,2.01413960951852,2.0311711690102205,1.9901692665302002,2.0311711690102205,80936800.0
2004-07-19,32.05,32.22,31.66,31.97,9520900.0,0.0,1.0,2.0217091915148306,2.0324327660096055,1.997108050026819,2.01666280351729,133292600.0
2004-07-16,32.85,32.92,32.12,32.2,8721100.0,0.0,1.0,2.07217307149024,2.076588660988089,2.0261247810126792,2.0311711690102205,122095400.0
2004-07-15,32.65,33.63,32.11,32.93,31566500.0,0.0,1.0,2.0595571014963876,2.1213753544662644,2.0254939825129865,2.077219459487781,441931000.0
2004-07-14,28.86,29.97,28.74,29.58,14925000.0,0.0,1.0,1.8204844701128868,1.890503103578767,1.8129148881165753,1.865901962090755,208950000.0
2004-07-13,29.25,29.6,29.02,29.22,5646000.0,0.0,1.0,1.845085611600899,1.8671635590901405,1.8305772461079686,1.843193216101821,79044000.0
2004-07-12,30.01,30.04,28.93,29.14,9136100.0,0.0,1.0,1.8930262975775376,1.8949186930766153,1.8249000596107352,1.83814682810428,127905400.0
2004-07-09,30.27,30.5,30.03,30.03,3729700.0,0.0,1.0,1.9094270585695454,1.9239354240624758,1.8942878945769228,1.8942878945769228,52215800.0
2004-07-08,30.13,30.68,29.95,30.14,4167500.0,0.0,1.0,1.900595879573849,1.9352897970569427,1.8892415065793817,1.9012266780735416,58345000.0
2004-07-07,30.81,31.36,30.13,30.39,7107000.0,0.0,1.0,1.9434901775529467,1.9781840950360405,1.900595879573849,1.916996640565857,99498000.0
2004-07-06,31.27,31.42,30.8,30.95,6231800.0,0.0,1.0,1.972506908538807,1.9819688860341964,1.9428593790532542,1.9523213565486432,87245200.0
2004-07-02,30.45,31.18,29.73,31.08,16262200.0,0.0,1.0,1.9207814315640126,1.9668297220415736,1.8753639395861443,1.9605217370446473,227670800.0
2004-07-01,32.08,32.48,31.9,32.3,6106100.0,0.0,1.0,2.023601587013909,2.048833527001613,2.0122472140194416,2.0374791540071464,85485400.0
2004-06-30,32.509,32.97,31.89,32.54,6661500.0,0.0,1.0,2.050662842650722,2.0797426534865515,2.0116164155197493,2.052618317999769,93261000.0
2004-06-29,32.1,32.99,31.41,32.5,10545600.0,0.0,1.0,2.0248631840132942,2.081004250485937,1.9813380875345037,2.0500951240009986,147638400.0
2004-06-28,33.9,34.19,32.21,32.49,9305300.0,0.0,1.0,2.1384069139579647,2.1567000704490504,2.031801967509913,2.0494643255013063,130274200.0
2004-06-25,33.07,33.7,33.0,33.7,5775500.0,0.0,1.0,2.086050638483478,2.1257909439641125,2.0816350489856292,2.1257909439641125,80857000.0
2004-06-24,33.52,33.7,32.98,33.18,4509200.0,0.0,1.0,2.1144365709696458,2.1257909439641125,2.080373451986244,2.0929894219800964,63128800.0
2004-06-23,33.0,33.83,32.89,33.7,6979800.0,0.0,1.0,2.0816350489856292,2.1339913244601165,2.0746962654890106,2.1257909439641125,97717200.0
2004-06-22,32.32,33.09,32.29,33.0,6437700.0,0.0,1.0,2.038740751006532,2.0873122354828633,2.0368483555074537,2.0816350489856292,90127800.0
2004-06-21,33.1,33.5,32.12,32.33,6968100.0,0.0,1.0,2.0879430339825555,2.1131749739702603,2.0261247810126792,2.039371549506224,97553400.0
2004-06-18,32.58,33.409,32.43,32.91,7254500.0,0.0,1.0,2.0551415119985394,2.1074347076230575,2.0456795345031504,2.0759578624883956,101563000.0
2004-06-17,32.55,33.13,32.21,32.81,9845000.0,0.0,1.0,2.0532491164994617,2.0898354294816337,2.031801967509913,2.06964987749147,137830000.0
2004-06-16,30.62,33.32,30.53,32.74,16243600.0,0.0,1.0,1.931505006058787,2.101820600975793,1.9258278195615537,2.0652342879936216,227410400.0
